trade_id,datetime,dollar,accumulated_revenue,average_revenue
1,2020-10-09-20:00,300,300,300
2,2020-10-09-20:00,185,485,242.5
3,2020-10-09-20:00,90,575,191.6666667
4,2020-10-09-20:00,380,955,238.75
5,2020-10-09-20:00,285,1240,248
6,2020-10-09-20:00,185,1425,237.5
7,2020-10-09-20:00,185,1610,230
8,2020-10-09-20:00,-90,1520,190
9,2020-10-09-20:00,270,1790,198.8888889
10,2020-10-09-20:00,700,2490,249
11,2020-10-09-20:00,285,2775,252.2727273
12,2020-10-09-20:00,95,2870,239.1666667
13,2020-10-09-20:00,205,3075,236.5384615
14,2020-10-09-20:00,190,3265,233.2142857
15,2020-10-09-20:00,95,3360,224
16,2020-10-09-20:00,95,3455,215.9375
17,2020-10-09-20:00,480,3935,231.4705882
18,2020-10-09-20:00,95,4030,223.8888889
19,2020-10-10-20:00,100,4130,217.3684211
20,2020-10-10-20:00,100,4230,211.5
21,2020-10-10-20:00,100,4330,206.1904762
22,2020-10-10-20:00,0,4330,196.8181818
23,2020-10-10-20:00,190,4520,196.5217391
24,2020-10-10-20:00,500,5020,209.1666667
25,2020-10-10-20:00,200,4220,168.8
26,2020-10-10-20:00,4600,9820,377.6923077
27,2020-10-10-20:00,610,10430,386.2962963
28,2020-10-10-20:00,3000,13430,479.6428571
29,2020-10-10-20:00,605,14035,483.9655172
30,2020-10-10-20:00,100,14135,471.1666667
31,2020-10-10-20:00,385,14520,468.3870968
32,2020-10-10-20:00,85,14605,456.40625
33,2020-10-10-20:00,2425,17030,516.0606061
34,2020-10-10-20:00,580,17610,517.9411765
35,2020-10-10-20:00,485,18095,517
36,2020-10-10-20:00,590,18685,519.0277778
37,2020-10-10-20:00,880,19565,528.7837838
38,2020-10-10-20:00,485,20050,527.6315789
39,2020-10-10-20:00,1150,21200,543.5897436
40,2020-10-10-20:00,385,21585,539.625
41,2020-10-10-20:00,100,21685,528.902439
42,2020-10-10-20:00,2000,23685,563.9285714
43,2020-10-10-20:00,2830,26515,616.627907
44,2020-10-10-20:00,2440,28955,658.0681818
45,2020-10-10-20:00,200,29155,647.8888889
46,2020-10-10-20:00,680,29835,648.5869565
47,2020-10-10-20:00,2670,32505,691.5957447
48,2020-10-10-20:00,1000,33505,698.0208333
49,2020-10-10-20:00,100,33605,685.8163265
50,2020-10-10-20:00,195,33800,676
51,2020-10-10-20:00,290,34090,668.4313725
52,2020-10-10-20:00,100,34190,657.5
53,2020-10-10-20:00,1410,35600,671.6981132
54,2020-10-10-20:00,385,35985,666.3888889
55,2020-10-10-21:30,-300,35685,648.8181818
56,2020-10-10-21:30,-600,35085,626.5178571
57,2020-10-10-21:30,-800,34285,601.4912281
58,2020-10-10-21:30,-100,34185,589.3965517
59,2020-10-10-21:30,-400,33785,572.6271186
60,2020-10-10-21:30,-2000,31785,529.75
61,2020-10-10-21:30,-600,31185,511.2295082
62,2020-10-10-21:30,-800,30385,490.0806452
63,2020-10-10-21:30,-200,30185,479.1269841
64,2020-10-10-21:30,-400,29785,465.390625
65,2020-10-10-21:30,-700,29085,447.4615385
66,2020-10-10-21:30,-200,28885,437.6515152
67,2020-10-10-21:30,-1800,27085,404.2537313
68,2020-10-10-21:30,-195,26890,395.4411765
69,2020-10-10-21:30,-1600,25290,366.5217391
70,2020-10-10-21:30,-1900,23390,334.1428571
71,2020-10-10-21:30,-1300,22090,311.1267606
72,2020-10-10-21:30,2000,24090,334.5833333
73,2020-10-10-21:30,-2000,22090,302.6027397
74,2020-10-10-21:30,-12400,9690,130.9459459
75,2020-10-10-21:30,-2000,7690,102.5333333
76,2020-10-10-21:30,-700,6990,91.97368421
77,2020-10-10-21:30,-6000,990,12.85714286
78,2020-10-10-21:30,-4000,-3010,-38.58974359
79,2020-10-10-21:30,-3080,-6090,-77.08860759
80,2020-10-10-21:30,-300,-6390,-79.875
81,2020-10-10-21:30,-800,-7190,-88.7654321
82,2020-10-10-21:30,-6000,-13190,-160.8536585
83,2020-10-11-20:00,1000,-12190,-146.8674699
84,2020-10-11-20:00,195,-11995,-142.797619
85,2020-10-11-20:00,-10,-12005,-141.2352941
86,2020-10-11-20:00,-200,-12205,-141.9186047
87,2020-10-11-20:00,460,-11745,-135
88,2020-10-11-20:00,1000,-10745,-122.1022727
89,2020-10-11-20:00,1780,-8965,-100.7303371
90,2020-10-11-20:00,-110,-9075,-100.8333333
91,2020-10-11-20:00,-200,-9275,-101.9230769
92,2020-10-11-20:00,200,-9075,-98.64130435
93,2020-10-11-20:00,-4000,-13075,-140.5913978
94,2020-10-11-20:00,-810,-13885,-147.712766
95,2020-10-11-20:00,460,-13425,-141.3157895
96,2020-10-11-20:00,-400,-13825,-144.0104167
97,2020-10-11-20:00,-1720,-15545,-160.257732
98,2020-10-11-20:00,-1500,-17045,-173.9285714
99,2020-10-11-20:00,200,-16845,-170.1515152
100,2020-10-11-20:00,-1100,-17945,-179.45
101,2020-10-11-20:00,-600,-18545,-183.6138614
102,2020-10-11-20:00,1000,-17545,-172.0098039
103,2020-10-11-20:00,-400,-17945,-174.223301
104,2020-10-11-20:00,480,-17465,-167.9326923
105,2020-10-11-20:00,-200,-17665,-168.2380952
106,2020-10-11-20:00,-80,-17745,-167.4056604
107,2020-10-11-20:00,-145,-17890,-167.1962617
108,2020-10-11-20:00,630,-17260,-159.8148148
109,2020-10-11-20:00,800,-16460,-151.0091743
110,2020-10-11-20:00,-100,-16560,-150.5454545
111,2020-10-11-21:30,900,-15660,-141.0810811
112,2020-10-11-21:30,100,-15560,-138.9285714
113,2020-10-11-21:30,0,-15560,-137.699115
114,2020-10-11-21:30,-140,-15700,-137.7192982
115,2020-10-11-21:30,160,-15540,-135.1304348
116,2020-10-11-21:30,-100,-15640,-134.8275862
117,2020-10-11-21:30,-40,-15680,-134.017094
118,2020-10-11-21:30,-40,-15720,-133.220339
119,2020-10-11-21:30,-200,-15920,-133.7815126
120,2020-10-12-20:00,480,-15440,-128.6666667
121,2020-10-12-20:00,490,-14950,-123.553719
122,2020-10-12-20:00,470,-14480,-118.6885246
123,2020-10-12-20:00,1880,-12600,-102.4390244
124,2020-10-12-20:00,445,-12155,-98.02419355
125,2020-10-12-20:00,85,-12070,-96.56
126,2020-10-12-20:00,480,-11590,-91.98412698
127,2020-10-12-20:00,195,-11395,-89.72440945
128,2020-10-12-20:00,490,-10905,-85.1953125
129,2020-10-12-20:00,1200,-9705,-75.23255814
130,2020-10-12-20:00,195,-9510,-73.15384615
131,2020-10-12-20:00,115,-9395,-71.71755725
132,2020-10-12-20:00,440,-8955,-67.84090909
133,2020-10-12-20:00,470,-8485,-63.79699248
134,2020-10-12-20:00,-100,-8585,-64.06716418
135,2020-10-12-20:00,-300,-8885,-65.81481481
136,2020-10-12-20:00,1800,-7085,-52.09558824
137,2020-10-12-20:00,-215,-7300,-53.28467153
138,2020-10-12-20:00,500,-6800,-49.27536232
139,2020-10-12-20:00,97,-6703,-48.22302158
140,2020-10-12-20:00,375,-6328,-45.2
141,2020-10-12-20:00,-410,-6738,-47.78723404
142,2020-10-12-20:00,-560,-7298,-51.3943662
143,2020-10-12-20:00,-100,-7398,-51.73426573
144,2020-10-12-20:00,-105,-7503,-52.10416667
145,2020-10-12-20:00,-105,-7608,-52.46896552
146,2020-10-12-20:00,-320,-7928,-54.30136986
147,2020-10-12-20:00,100,-7828,-53.25170068
148,2020-10-12-20:00,475,-7353,-49.68243243
149,2020-10-12-20:00,-200,-7553,-50.69127517
150,2020-10-12-21:30,-2530,-10083,-67.22
151,2020-10-12-21:30,-3020,-13103,-86.77483444
152,2020-10-12-21:30,-230,-13333,-87.71710526
153,2020-10-12-21:30,-1420,-14753,-96.4248366
154,2020-10-12-21:30,-3000,-17753,-115.2792208
155,2020-10-12-21:30,-4000,-21753,-140.3419355
156,2020-10-12-21:30,-1090,-22843,-146.4294872
157,2020-10-12-21:30,-700,-23543,-149.955414
158,2020-10-12-21:30,-2000,-25543,-161.664557
159,2020-10-12-21:30,-700,-26243,-165.0503145
160,2020-10-12-21:30,-1500,-27743,-173.39375
161,2020-10-12-21:30,-1970,-29713,-184.552795
162,2020-10-12-21:30,-470,-30183,-186.3148148
163,2020-10-12-21:30,-1520,-31703,-194.4969325
164,2020-10-12-21:30,-225,-31928,-194.6829268
165,2020-10-12-21:30,-515,-32443,-196.6242424
166,2020-10-12-21:30,-1220,-33663,-202.7891566
167,2020-10-12-21:30,-1000,-34663,-207.5628743
168,2020-10-13-20:00,570,-34093,-202.9345238
169,2020-10-13-20:00,470,-33623,-198.9526627
170,2020-10-13-20:00,470,-33153,-195.0176471
171,2020-10-13-20:00,470,-32683,-191.128655
172,2020-10-13-20:00,470,-32213,-187.2848837
173,2020-10-13-20:00,2350,-29863,-172.6184971
174,2020-10-13-20:00,470,-29393,-168.9252874
175,2020-10-13-20:00,560,-28833,-164.76
176,2020-10-13-20:00,4200,-24633,-139.9602273
177,2020-10-13-20:00,490,-24143,-136.4011299
178,2020-10-13-20:00,380,-23763,-133.5
179,2020-10-13-20:00,3000,-20763,-115.9944134
180,2020-10-13-20:00,200,-20563,-114.2388889
181,2020-10-13-20:00,280,-20283,-112.0607735
182,2020-10-13-20:00,600,-19683,-108.1483516
183,2020-10-13-20:00,185,-19498,-106.5464481
184,2020-10-13-20:00,190,-19308,-104.9347826
185,2020-10-13-20:00,375,-18933,-102.3405405
186,2020-10-13-20:00,185,-18748,-100.7956989
187,2020-10-13-20:00,185,-18563,-99.26737968
188,2020-10-13-20:00,700,-17863,-95.01595745
189,2020-10-13-20:00,280,-17583,-93.03174603
190,2020-10-13-20:00,200,-17383,-91.48947368
191,2020-10-13-20:00,3500,-13883,-72.68586387
192,2020-10-13-20:00,185,-13698,-71.34375
193,2020-10-13-20:00,450,-13248,-68.64248705
194,2020-10-13-21:30,-150,-13398,-69.06185567
195,2020-10-13-21:30,250,-13148,-67.42564103
196,2020-10-13-21:30,250,-12898,-65.80612245
197,2020-10-13-21:30,-100,-12998,-65.97969543
198,2020-10-13-21:30,-450,-13448,-67.91919192
199,2020-10-13-21:30,100,-13348,-67.07537688
200,2020-10-13-21:30,2500,-10848,-54.24
201,2020-10-13-21:30,350,-10498,-52.22885572
202,2020-10-13-21:30,250,-10248,-50.73267327
203,2020-10-13-21:30,100,-10148,-49.99014778
204,2020-10-13-21:30,100,-10048,-49.25490196
205,2020-10-13-21:30,1250,-8798,-42.91707317
206,2020-10-13-21:30,-300,-9098,-44.16504854
207,2020-10-13-21:30,750,-8348,-40.32850242
208,2020-10-13-21:30,50,-8298,-39.89423077
209,2020-10-13-21:30,0,-8298,-39.70334928
210,2020-10-13-21:30,100,-8198,-39.03809524
211,2020-10-13-21:30,1050,-7148,-33.87677725
212,2020-10-13-21:30,200,-6948,-32.77358491
213,2020-10-13-21:30,100,-6848,-32.15023474
214,2020-10-13-21:30,-100,-6948,-32.46728972
215,2020-10-13-21:30,50,-6898,-32.08372093
216,2020-10-13-21:30,100,-6898,-31.93518519
217,2020-10-14-20:00,1600,-5198,-23.95391705
218,2020-10-14-20:00,-2000,-7198,-33.01834862
219,2020-10-14-20:00,100,-7098,-32.4109589
220,2020-10-14-20:00,100,-6998,-31.80909091
221,2020-10-14-20:00,300,-6698,-30.30769231
222,2020-10-14-20:00,100,-6598,-29.72072072
223,2020-10-14-20:00,500,-6098,-27.34529148
224,2020-10-14-20:00,700,-5398,-24.09821429
225,2020-10-14-20:00,300,-5098,-22.65777778
